"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1729866130108604891","Wed Nov 29 14:13:19 +0000 2023","39148","anjing https://t.co/73nppMWjev","1729866130108604891","https://pbs.twimg.com/media/GAG4Esma4AApAXR.jpg","","in","she/they","4031","1741","3245","https://x.com/savanisme/status/1729866130108604891","728258630206689280","savanisme"
"1801560263956774964","Fri Jun 14 10:20:12 +0000 2024","29412"," gapapa gapapa ASAM LAMBUNG LO TUH NAIK ANJING","1801560263956774964","","","in","akun ni dikelola 2 kepribadian","1172","695","9535","https://x.com/flnive_/status/1801560263956774964","1394281787036078081","flnive_"
"1787482548601503834","Mon May 06 14:00:24 +0000 2024","34580","ANJING MKSDNYA APA??? https://t.co/StZ4w6fgtM","1787482548601503834","https://pbs.twimg.com/media/GM5p5uwaoAE_a-X.jpg","","in","jaksell","1333","1232","2966","https://x.com/maabboyy/status/1787482548601503834","1408629272143536131","maabboyy"
"1757570908473135584","Wed Feb 14 01:02:13 +0000 2024","97791","TPS RUMAH GW HERU BUDI ANJING!!!! BANGUN GAK LU!!!! https://t.co/Sy3WIid2sA","1757570908473135584","https://pbs.twimg.com/media/GGQlaufbAAAifgI.jpg","","in","She/Her","2626","2511","13289","https://x.com/nakaharadz/status/1757570908473135584","1555329492662398976","nakaharadz"
"1773941828859142624","Sat Mar 30 05:14:24 +0000 2024","29006","lu anjing https://t.co/3R7JDCztQY","1773941828859142624","https://pbs.twimg.com/media/GJ5OsF1bEAAgGAz.jpg","","in","tangsel","922","596","5056","https://x.com/konutoru/status/1773941828859142624","875477919321247744","konutoru"
"1803318578382582175","Wed Jun 19 06:47:07 +0000 2024","30","KOK LUCU BANGET SIH ANJING APA GUE HARUS JD BANTENG YAA BIAR BISA MENYERUDUK MEREKA?! https://t.co/dmuKVfmOKX","1803318578382582175","https://pbs.twimg.com/ext_tw_video_thumb/1803316484795670529/pu/img/MwFd5Rxp2wk44MAj.jpg","","in","darl yuk confess ke gua, xixi","0","0","0","https://x.com/Choocupcake/status/1803318578382582175","1568645015282524161","Choocupcake"
"1757236266121515452","Tue Feb 13 02:52:28 +0000 2024","31221","Lo kesel banget gak dicounter pake video tiktok soal pelanggaran prosedur dan etik dalam putusan MK yang meloloskan Gibran? Kayak anjing gue belajar hukum 4 tahun gue ngerti isinya dan apa yang salah kenapa jadi disuruh belajar hukum dari tiktok bjirrr https://t.co/9I1XiSf0Hw","1757236266121515452","https://pbs.twimg.com/media/GGL1EGVbgAAUb82.jpg","","in","","498","539","4745","https://x.com/jahterra/status/1757236266121515452","1294438367166263297","jahterra"
"1745785670218777040","Fri Jan 12 12:31:53 +0000 2024","69572"," lu mah enak lu mah enak YAUDAH MAKAN AJA GUE ANJING!!!","1745785670218777040","","","in","akun ni dikelola 2 kepribadian","1027","386","23485","https://x.com/flnive_/status/1745785670218777040","1394281787036078081","flnive_"
"1743927788338614705","Sun Jan 07 09:29:20 +0000 2024","28189","fess STOP KONSUMSI DAGING ÀNJING. ÀNJING BUKAN MAKANAN. https://t.co/DwkXynnuxC","1743927788338614705","https://pbs.twimg.com/media/GDOtFHqbEAAUm-Y.jpg","","in","Pengaduan","1479","1373","8009","https://x.com/FOODFESS2/status/1743927788338614705","939277717966544896","FOODFESS2"
"1743907541468201218","Sun Jan 07 08:08:52 +0000 2024","56796","DEMI ALLAH GUA MARAH BGT ANJING LU AZKA BABI https://t.co/Xj6Q8qpang","1743907541468201218","https://pbs.twimg.com/media/GDOaqG2aUAAeS89.jpg","","in","","1752","1043","4531","https://x.com/h00man_/status/1743907541468201218","388787305","h00man_"
