"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1748028724703068217","Thu Jan 18 17:04:59 +0000 2024","23627"," Terima kasih pak Prabowo pake pose jari Itu uang negara untuk bantuan ke Palestina jangan dipersonalisasi seakan-akan itu bantuan pribadi apalagi pake unsur unsur kampanye bener bener artis tolol https://t.co/U7YWvSL9k7","1748028724703068217","https://pbs.twimg.com/amplify_video_thumb/1748028593048031232/img/s0cpGLhDAH-o4i43.jpg","","in","","1828","916","5460","https://x.com/cinnamongirlc/status/1748028724703068217","58184629","cinnamongirlc"
"1759440842337693852","Mon Feb 19 04:52:40 +0000 2024","9202","Ga cantik sih tapi soal effort ke cowo boleh di adu sampe tolol","1759440842337693852","","","in","","424","288","3532","https://x.com/JIHANNN____/status/1759440842337693852","1219275671819567106","JIHANNN____"
"1731981212435017847","Tue Dec 05 10:17:54 +0000 2023","21396","ternyata cuman penyakit. tolol https://t.co/atbTGHnfER","1731981212435017847","https://pbs.twimg.com/media/GAk7u7OaYAAlRbG.jpg","","in","near u","1257","576","4586","https://x.com/bbyyygum/status/1731981212435017847","1250230920365277184","bbyyygum"
"1800407740386628007","Tue Jun 11 06:00:29 +0000 2024","26542","tuhan ciptain marah buat ngelawan lo malah milih ngalah mulu kek orang tolol","1800407740386628007","","","in","akun ni dikelola 2 kepribadian","1156","602","8589","https://x.com/flnive_/status/1800407740386628007","1394281787036078081","flnive_"
"1719582305067659623","Wed Nov 01 05:09:04 +0000 2023","28930","pdahal tinggal ngetik boncengan https://t.co/iLDWJSZUQK","1719582305067659623","https://pbs.twimg.com/media/F90u-mraoAAeSNI.jpg","","in","","680","500","5413","https://x.com/ketololan_tolol/status/1719582305067659623","1286878661493190657","ketololan_tolol"
"1803407064074498240","Wed Jun 19 12:38:44 +0000 2024","855","kelamaan ditinggal jadi lupa ya kalo kamu budaknya daddy? lonte tolol nya daddy? memek lacur mu harus selalu siap buat daddy lecehin. mau daddy ludahin tepok tepok genjot kamu harus nurut","1803407064074498240","","","in","Bekasi, Jawa Barat","0","1","33","https://x.com/yourpspartner/status/1803407064074498240","1214574932488679424","yourpspartner"
"1727962580080308340","Fri Nov 24 08:09:17 +0000 2023","7501","Bucin tolol gatau aturan","1727962580080308340","","","in","","106","272","1052","https://x.com/iquaysss/status/1727962580080308340","1564448799593861121","iquaysss"
"1776418918435045718","Sat Apr 06 01:17:29 +0000 2024","11209","Budaya toLoL from Indramayu https://t.co/7PsQgr7bjI","1776418918435045718","https://pbs.twimg.com/ext_tw_video_thumb/1776418824642072576/pu/img/iKKSd15d-_lpJdZD.jpg","","in","New York, USA","1515","2315","2444","https://x.com/hahingang_/status/1776418918435045718","1765382351989997568","hahingang_"
"1723707048112861432","Sun Nov 12 14:19:19 +0000 2023","10236","opah tantrum https://t.co/8nUNc3Vamz","1723707048112861432","https://pbs.twimg.com/ext_tw_video_thumb/1723707000746549248/pu/img/8Sku4m8_MTE-qeQv.jpg","","in","","378","336","2760","https://x.com/ketololan_tolol/status/1723707048112861432","1286878661493190657","ketololan_tolol"
"1765597847997804646","Thu Mar 07 04:38:24 +0000 2024","9987","ayi stop menjadi tolol mission failed. bukan berarti karena dia ga speakup dia oke2 aja buat dilecehin anjing ayi tolol. https://t.co/F5JQTltxlu","1765597847997804646","https://pbs.twimg.com/media/GICp4ocagAAfknq.jpg","","in","CLOSE.","759","266","1046","https://x.com/inmghao/status/1765597847997804646","1435173177965957125","inmghao"
"1757993765502148806","Thu Feb 15 05:02:30 +0000 2024","38914","yg w gak terima tuh kita harus nurutin suara terbanyak dari pengguna tiktok can you imagine kita disetir orang tolol ","1757993765502148806","","","in","","1135","1242","7878","https://x.com/xxxburuhcucixxx/status/1757993765502148806","1683166607286349824","xxxburuhcucixxx"
"1803316396438462487","Wed Jun 19 06:38:27 +0000 2024","3","Nitip harga MANGOSTAR VSAT sebelum nanti dirubah TELKOMSAT WKWKWKWKWKKWK TOLOL https://t.co/0UHt59FFjZ","1803316396438462487","https://pbs.twimg.com/media/GQaqs9daIAMUa-K.jpg","","in","","0","1","0","https://x.com/abdelrz20/status/1803316396438462487","2658638329","abdelrz20"
"1753017515079573793","Thu Feb 01 11:28:39 +0000 2024","8305","ga semua orang dapetin gua versi ngemis kaya orang tolol","1753017515079573793","","","in","","222","298","2640","https://x.com/traptizedd/status/1753017515079573793","1542802092532051968","traptizedd"
"1734152293782835230","Mon Dec 11 10:05:00 +0000 2023","8487","ptn! BELAJAR TOLOL . . .","1734152293782835230","","","in","RULES 👉","1068","814","2942","https://x.com/sbmptnfess/status/1734152293782835230","1205629250423779328","sbmptnfess"
"1803441640415379803","Wed Jun 19 14:56:08 +0000 2024","864","yiheon x sekyung ft. insoo ㅡoneshot au √ cemburu tanda cinta x √ cemburu tanda tolol https://t.co/m3DRvD31XO","1803441640415379803","https://pbs.twimg.com/media/GQccDDEakAAWExS.jpg","","in","space💫","7","1","104","https://x.com/newyeomu/status/1803441640415379803","1486973741183938562","newyeomu"
"1740105437427712409","Wed Dec 27 20:20:40 +0000 2023","16244","Siapapun yg mobilisasi kebencian pada Rohingya selamat kalian menang melawan pengungsi lemah korban genosida. Rayakan kemenangan kalian ama mahasiswa tolol ini Keren! Kalian hampir sukses mengulang tragedi kekerasan etnic yg berulang menghantui bangsa ini akibat misinformasi https://t.co/jHS1xhN2vV","1740105437427712409","https://pbs.twimg.com/ext_tw_video_thumb/1740083687855919104/pu/img/gHugpocAfvwSKhlF.jpg","","in","Yogyakarta - Palembang","1075","1089","6220","https://x.com/rgantas/status/1740105437427712409","1492990375","rgantas"
"1804070180966048242","Fri Jun 21 08:33:43 +0000 2024","7","fans tolol mana yg bisa bisanya ngetik begini ke biasnya sendiri cuma demi perlindungan dari agenshit????? kata gw tobat mbak lo udah sakit parah itu anjing. miris rj punya fans setan kayak lo. inget kata wali @sungrenn https://t.co/lzyqfs2WMm","1804070180966048242","https://pbs.twimg.com/media/GQlYRNxakAUTzaZ.jpg","","in","","0","0","0","https://x.com/SOLEILE0S/status/1804070180966048242","1722167136532205568","SOLEILE0S"
"1804182375062262256","Fri Jun 21 15:59:32 +0000 2024","4","Gw berasa ngelihat opini orang-orang tolol yang gak percaya COVID 2020 lalu.","1804182375062262256","","","in","He/They. NSFW.","0","0","0","https://x.com/Wherewithalsm/status/1804182375062262256","434824210","Wherewithalsm"
"1757220452244844598","Tue Feb 13 01:49:38 +0000 2024","33575","Kita tuh nggak bodoh. Nggak ada demo mahasiswa banner diprint kecuali emang masa bayaran. Nggak ada demo isinya endors pemerintah. Tolol tolol. Mau nyaingin Gejayan memanggil? Mimpi lo kon","1757220452244844598","","","in","","391","459","8232","https://x.com/jahterra/status/1757220452244844598","1294438367166263297","jahterra"
"1804082050452066780","Fri Jun 21 09:20:53 +0000 2024","5","ya frustasi mah frustasi aja gobloooook ngapain lo pake segala bawa bawa rumor having sex????? dikata fans yg biasnya juga sama sama dikuntit ssg kagak frustasi apa ya tolol tolol. kita semua yg tau seberapa tainya ssg juga frustasi kagak lo doang idiot","1804082050452066780","","","in","","0","0","1","https://x.com/SOLEILE0S/status/1804082050452066780","1722167136532205568","SOLEILE0S"
